Barrel,NO,SIGNAL,X,Y,PIN,PAD,SURFACE,SURFACE1
100, 73, NetP101_14, 5610.0000, 1333.8990, P101.14, PADSTACK12, PROBE, BOTTOM
100, 74, NetP101_12, 5610.0000, 1433.8990, P101.12, PADSTACK12, PROBE, BOTTOM
100, 75, NetP101_10, 5610.0000, 1533.8990, P101.10, PADSTACK12, PROBE, BOTTOM
100, 104, NetQ403_G, 1980.0990, 590.0000, TP423.1, PADSTACK104, PROBE, BOTTOM
100, 107, NetR316_1, 4450.0000, -500.0000, TP325.1, PADSTACK104, PROBE, BOTTOM
100, 108, NetQ504_G, 3560.0000, 2075.0000, TP538.1, PADSTACK104, PROBE, BOTTOM
100, 109, NetQ503_G, 3399.3590, 2075.0000, TP531.1, PADSTACK104, PROBE, BOTTOM
100, 110, NetQ402_G, 4610.5690, 148.5390, TP404.1, PADSTACK104, PROBE, BOTTOM
100, 112, NetLD302_CAT, 4845.0000, -640.0000, TP320.1, PADSTACK104, PROBE, BOTTOM
100, 113, NetLD302_AN, 5055.0000, -585.0000, TP312.1, PADSTACK104, PROBE, BOTTOM
100, 114, NetLD301_CAT, 4845.0000, -779.9890, TP317.1, PADSTACK104, PROBE, BOTTOM
100, 115, NetLD301_AN, 5103.5400, -779.9890, TP311.1, PADSTACK104, PROBE, BOTTOM
75, 18, NetJ301_4, 4890.0000, -300.0000, VIA29.1, PADSTACK16, PROBE, TOP
75, 40, NetTP213_1, 4021.3800, 2838.5790, U201.3, PADSTACK2, PROBE, BOTTOM
75, 41, NetTP216_1, 4021.3800, 2913.3890, U201.5, PADSTACK2, PROBE, BOTTOM
75, 42, NetTP223_1, 4021.3800, 3062.9890, U201.9, PADSTACK2, PROBE, BOTTOM
75, 44, NetR203_2, 4096.1800, 2838.5790, U201.4, PADSTACK2, PROBE, BOTTOM
75, 45, NetR202_1, 4096.1800, 2913.3890, U201.6, PADSTACK2, PROBE, BOTTOM
75, 46, NetC201_1, 4096.1800, 2988.1890, U201.8, PADSTACK2, PROBE, BOTTOM
75, 47, UNCONNECTED_3, 4096.1800, 3062.9890, U201.10, PADSTACK2, PROBE, BOTTOM
75, 101, NetR504_1, 1578.0290, 765.0000, TP506.1, PADSTACK104, PROBE, BOTTOM
75, 102, NetR503_1, 1720.0000, 765.0000, TP505.1, PADSTACK104, PROBE, BOTTOM
75, 111, NetQ401_G, 2799.4490, 595.0000, TP401.1, PADSTACK104, PROBE, BOTTOM
75, 116, NetFB502_2, 825.0000, 363.8990, TP513.1, PADSTACK104, PROBE, BOTTOM
75, 119, NetFB501_1, 825.0000, 775.0000, TP509.1, PADSTACK104, PROBE, BOTTOM
75, 120, NetD511_K, 2900.0000, 1695.0000, TP530.1, PADSTACK104, PROBE, BOTTOM
50, 12, DEBUG_RX, 4350.0000, 150.0000, VIA35.1, PADSTACK16, PROBE, TOP
50, 15, NetR203_1, 4710.0000, -32.0490, VIA13.1, PADSTACK16, PROBE, TOP
50, 17, NetR201_1, 4750.0000, -71.4190, VIA15.1, PADSTACK16, PROBE, TOP
50, 19, NetJ301_2, 4935.0000, -250.0000, VIA31.1, PADSTACK16, PROBE, TOP
50, 103, NetR502_2, 1630.0000, 934.7790, TP503.1, PADSTACK104, PROBE, BOTTOM
50, 105, NetR318_2, 4450.0000, 150.0000, TP330.1, PADSTACK104, PROBE, BOTTOM
50, 106, NetR317_2, 4400.0000, 150.0000, TP328.1, PADSTACK104, PROBE, BOTTOM
50, 117, NetFB502_1, 825.0000, 425.3890, TP511.1, PADSTACK104, PROBE, BOTTOM
50, 118, NetFB501_2, 825.0000, 841.5000, TP502.1, PADSTACK104, PROBE, BOTTOM
